Rk,Player,Nation Code,Country,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls?,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
122,Aaron Connolly,ie,Ireland,FW,Brighton,20,2000,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,Matches
316,Aaron Cresswell,gb,United Kingdom,DF,West Ham,30,1989,36,36,3170,35.2,0,8,0,0,0,3,0,0,0.23,0.23,0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19,Matches
457,Aaron Ramsdale,gb,United Kingdom,GK,Sheffield Utd,22,1998,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,Matches
158,Aaron Wan-Bissaka,gb,United Kingdom,DF,Manchester Utd,22,1997,34,34,3060,34,2,4,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,0.9,0.9,2.4,3.3,0.03,0.07,0.1,0.03,0.1,Matches
125,Abdoulaye Doucouré,fr,France,MF,Everton,27,1993,29,29,2443,27.1,2,3,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,Matches
376,Aboubakar Kamara,mr,Mauritania,FWDF,Fulham,25,1995,11,2,315,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22,Matches
223,Adam Lallana,gb,United Kingdom,MFFW,Brighton,32,1988,30,16,1596,17.7,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.3,0.14,0.3,Matches
268,Adam Webster,gb,United Kingdom,DF,Brighton,25,1995,29,29,2594,28.8,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches
156,Adama Traoré,es,Spain,FW,Wolves,24,1996,37,28,2649,29.4,2,2,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,2.2,2.2,5.4,7.7,0.08,0.18,0.26,0.08,0.26,Matches
78,Ademola Lookman,gb,United Kingdom,FWMF,Fulham,22,1997,34,31,2747,30.5,4,4,4,0,1,5,0,0.13,0.13,0.26,0.13,0.26,5.5,4.8,5.2,10,0.18,0.17,0.35,0.16,0.33,Matches
